"Sandisk  SSD PLUS(480GB),Sandisk,내장형,2.5형(6.4cm),확인 요망,,,,최대 445MB/s,최대 535MB/s,,,,,,,"
"삼성전자  960 EVO M.2 2280(1TB),삼성전자,내장형,M.2 (2280),TLC(토글),3D낸드,,삼성 Polaris,최대 1,900MB/s,최대 3,200MB/s,,O,,,,,"
"마이크론 Crucial MX300 아스크텍(525GB),마이크론,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,"
"킹스톤  SSDNow UV400(240GB),킹스톤,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88SS1074,490MB/s,550MB/s,,,,,,,"
"삼성전자  PM961 M.2 2280 병행수입(256GB),삼성전자,내장형,,TLC(토글),,,삼성 Polaris (AMD),,,,,,,,,"
"삼성전자  850 EVO mSATA(250GB),삼성전자,내장형,Mini SATA(mSATA),TLC(토글),3D낸드,,삼성전자 MGX Controller,최대 520MB/s,최대 540MB/s,,,,,,,"
"삼성전자  850 EVO M.2 2280(500GB),삼성전자,내장형,M.2 (2280),,3D낸드,,삼성 MGX Controller,최대 500MB/s,최대 540MB/s,,,,,,,"
"실리콘파워  Slim S56(120GB),실리콘파워,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,파이슨,최대 530MB/s,최대 560MB/s,,,,,,,"
"Sandisk  Z410(480GB),Sandisk,내장형,2.5형(6.4cm),TLC(토글),,,,최대 410MB/s,최대 535MB/s,,,,,,,"
"ADATA  Ultimate SU800(512GB),ADATA,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,실리콘모션 SM2258,최대 520MB/s,최대 560MB/s,,,,,,,"
"e-STAR  ST980 M.2 2280(512GB),e-STAR,내장형,M.2 (2280),MLC(기타),,,파이슨,최대 2,200MB/s,최대 3,000MB/s,,O,,,,,"
"ADATA  Premier Pro SP900(128GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),,,샌드포스,535MB/s,545MB/s,,,,,O,,"
"Sandisk  Z400s(128GB),Sandisk,내장형,2.5형(6.4cm),MLC(낸드),,,,최대 330MB/s,최대 549MB/s,,,,,,,"
"디오테라  VIVA 300S PRO(128GB),디오테라,내장형,2.5형(6.4cm),MLC(기타),2D낸드,,실리콘모션 SM2246,최대 200MB/s,최대 500MB/s,,,,,,,"
"마이크론 Crucial MX300 M.2 2280 아스크텍(275GB),마이크론,내장형,M.2 (2280),TLC(기타),3D낸드,,마벨 88SS1074,최대 500MB/s,최대 530MB/s,,,,,,,"
"Sandisk  Z410(240GB),Sandisk,내장형,2.5형(6.4cm),TLC(토글),,,,최대 410MB/s,최대 535MB/s,,,,,,,"
"삼성전자  PM961 M.2 2280 병행수입(512GB),삼성전자,내장형,,TLC(토글),,,삼성 Polaris (AMD),,,,,,,,,"
"KINGMAX  3.5 브라켓,KINGMAX,SSD 주변기기,철재(SECC),,,,,,,,,,,O,,"
