"POWEREX  BLACKQ II 600W 80PLUS,POWEREX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O"
"Antec  EDGE750 GOLD LED 풀모듈러,Antec,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,O,,O,,O"
"topower  TOP-600D 80PLUS BRONZE,topower,ATX 파워,정격 600W,표기 600W,,120mm 팬,O,,,O,,O"
"잘만  ZM500-TX 80Plus 230V EU,잘만,ATX 파워,정격 500W,표기 500W,20핀+4핀,140mm 팬,O,,,O,,O"
"POWEREX  LEGEND 1200W Modular 80Plus Gold Sleeve Edition,POWEREX,ATX 파워,정격 1200W,,20핀+4핀,135mm 팬,O,,,,,O"
"AONE  STORM 500LF 더블포워드 V2.3 벌크,AONE,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,"
"마이크로닉스  CASLON 600W After Cooling 87+ FDB,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,O,O,,"
"POWEREX  REXIII DS 500W Single Rail DC to DC,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"EPITECH ENERGY OPTIMUS S500,EPITECH,ATX 파워,정격 200W,,20핀+4핀,120mm 팬,,,O,,,"
"퍼스트큐브씨앤씨  First CUBE 450GM VALUE,퍼스트큐브씨앤씨,M-ATX 파워,정격 230W,,20핀+4핀,80mm 팬,,,O,,,"
"FSP  HYPER M 600W Modular 85+,FSP,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,"
"마이크로닉스  Strike X LED Series 650W 85plus Modular,마이크로닉스,ATX 파워,정격 650W,표기 650W,24핀 전용,135mm 팬,O,,,,,"
"POWEREX  LEGEND 700W 80PLUS 브론즈,POWEREX,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,O"
"CORSAIR  CX500 80PLUS BRONZE,CORSAIR,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"마이크로닉스  Compact SFX 350W 80Plus Bronze,마이크로닉스,SFX 파워,정격 350W,표기 350W,20핀+4핀,80mm 팬,O,,,O,,O"
"FSP  AURUM PT-650M,FSP,ATX 파워,정격 650W,표기 650W,20핀+4핀,120mm 팬,O,,,O,,O"
"FSP  FSP400-60GHS(85),FSP,M-ATX 파워,정격 400W,표기 400W,20핀+4핀,80mm 팬,O,,,,,"
"마이크로닉스  Compact TFX 350W 80Plus EU Standard,마이크로닉스,TFX 파워,정격 350W,표기 350W,20핀+4핀,80mm 팬,O,,,O,,O"
"POWEREX  LEGEND 500W GOLD PLUS,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"스카이디지탈  파워스테이션4 PS4-350T 86P ActivePFC V2.31,스카이디지탈,TFX 파워,정격 350W,표기 350W,24핀 전용,80mm 팬,O,,,O,,"
"SuperFlower  SF-1000F14MG LEADEX GOLD,SuperFlower,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,140mm,O,O,,O,,O"
