"갤럭시 GALAX 지포스 GTX750 Ti EXOC D5 1GB,갤럭시,NVIDIA,지포스 GTX7xx,PCIe3.0x16,GDDR5(DDR5),1GB,128-bit,1개,1개,,O,O,,,,,,방열판+쿨러,236 mm,34 mm,"
"리드텍  쿼드로 M5000 D5 8GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),8GB,256-bit,,4개,,O,O,,,,,,,266 mm,40 mm,최대 150W"
"갤럭시 GALAX 지포스 GTX950 OC BLACK D5 2GB,갤럭시,NVIDIA,지포스 GTX9xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,3개,O,O,O,,O,,,,,180 mm,39 mm,최대 75W"
"리드텍  쿼드로 NVS 315 D3 1GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe2.0x16,GDDR3(DDR3),1GB,64-bit,,,,O,,,,,,,방열판+쿨러,145 mm,20 mm,최대 19.5W"
"리드텍  쿼드로 P4000 D5 8GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),8GB,256-bit,,4개,,,,,,,,,,,,최대 105W"
"리드텍  쿼드로 NVS 810 D3 4GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR3(DDR3),4GB,128-bit,,8개,,,O,,,,,,방열판+쿨러,,,최대 68W"
"리드텍  쿼드로 P600 MDP to DP D5 2GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,,4개(mini),,,,,,,,,,,,최대 40W"
"XFX  라데온 RX 460 블랙울프 Mini OC D5 2GB,XFX,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,,178 mm,40 mm,"
"inno3D  지포스 GT710 D3 1GB,inno3D,NVIDIA,지포스 GT7xx,PCIe2.0x8,SDDR3,1GB,64-bit,1개,,,O,,,,,,,방열판,140 mm,36 mm,최대 19W"
"리드텍  쿼드로 NVS 510 D3 2GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe x16,GDDR3(DDR3),2GB,128-bit,,4개,,,,,,,,,방열판+쿨러,,,최대 35W"
"GAINWARD  지포스 GT710 SD3 1GB 디앤디컴,GAINWARD,NVIDIA,지포스 GT7xx,PCIe2.0x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,112 mm,17 mm,최대 19W"
"리드텍  쿼드로 P1000 MDP to DP D5 4GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),4GB,128-bit,,4개(mini),,,,,,,,,,,,최대 47W"
"MSI  지포스 GT710 D3 2GB LP 무소음 웨이코스,MSI,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판,146 mm,19 mm,최대 19W"
"AXLE  지포스 GTX750 Ti V2 D5 1GB,AXLE,NVIDIA,지포스 GTX7xx,PCIe3.0x16,GDDR5(DDR5),1GB,128-bit,1개,,,O,O,,,,,,방열판+쿨러,146 mm,36 mm,최대 60W"
"PowerColor  라데온 RX 550 D5 2GB 레드드래곤 디앤디컴,PowerColor,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,,,,,,225 mm,38 mm,"
"이엠텍 XENON 지포스 GT710 D3 1GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,115 mm,18 mm,최대 19W"
"MANLI  지포스 GT710 Mini D3 1GB LP,MANLI,NVIDIA,지포스 GT7xx,PCIe2.0x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판,146 mm,18 mm,최대 19W"
"AXLE  지포스 GTX650 D5 1GB,AXLE,NVIDIA,지포스 GTX6xx,PCIe3.0x16,GDDR5(DDR5),1GB,128-bit,1개,,,,O,,,,,,방열판+쿨러,145 mm,36 mm,최대 70W"
